fid,giga_id_school,country,source,school_id,name,lat,lon,education_level,village,school_code,Province name,district name
"1",c505acdc-56d7-378a-b0f7-ca8a33bf7ac9,Thailand,government,"1030200271",หนองปรือแดงศิริราษฎร์ปการ,13.097903,100.061748,primary,ตำบลสาหร่าย  อำเภอชุมพวง  จังหวัดนครราชสีมา -,"30070151",นครราชสีมา,ชุมพวง
"2",2d75473e-5614-3548-b6bc-0e27636771a5,Thailand,government,"1030200654",วัดบ้านอุ่มจานโนนงิ้ว,13.021242,100.078825,primary & secondary,109 -,"30070050",นครราชสีมา,ประทาย
"3",504ef3ff-0a7d-329a-9024-df1e41a4c6a4,Thailand,government,"1030200871",มะค่าสามัคคี,13.046138,100.083383,primary & secondary,95 พิมาย-จักราช,"30070088",นครราชสีมา,พิมาย
"4",f5fe9800-eec6-3fa4-b1c5-41741ac045c3,Thailand,government,"1030201223",บ้านละหานสามัคคี,13.14945,99.957066,primary & secondary,23 -,"30070209",นครราชสีมา,เมืองยาง
"5",4dbf1781-55ea-390c-b9a3-2c52bcd053e1,Thailand,government,"1030201224",โนนสมบูรณฺ์หนองมะเขือ,13.148349,100.048728,primary,หมู่ที่7   -,"30070206",นครราชสีมา,เมืองยาง
"6",f27e742f-8299-3f76-9228-89b86924c73e,Thailand,government,"1030201279",ชุมชนลำทะเมนชัยศึกษา,13.149945,99.948678,primary & secondary,0 ถนนชุมพวง-ทางพาด,"30070210",นครราชสีมา,ลำทะเมนชัย
"7",371c3e2d-0391-3dca-a391-45fc4a7feb56,Thailand,government,"1030201282",บ้านไพล,13.175075,99.968645,primary & secondary,1 ชุมพวง - ทางพาด,"30070229",นครราชสีมา,ลำทะเมนชัย
"8",5c4c2d75-bb3c-3f15-be6b-9e4545c7265a,Thailand,government,"1030201283",บ้านหนองโป่ง(ราษฎร์บำรุง),13.153206,99.96569,primary,โรงเรียนบ้านหนองโป่งราษฎร์บำรุง ชุมพวง-ทางพาด,"30070212",นครราชสีมา,ลำทะเมนชัย
"9",c4e414b0-5c13-347e-8333-82c9e7bfd491,Thailand,government,"1030201285",บ้านอ้อประชาสามัคคี,13.175257,100.013115,primary & secondary,140 ชุมพวง - ทางพาด,"30070231",นครราชสีมา,ลำทะเมนชัย
"10",9153a930-ff13-3d1e-826b-e0259f4eb018,Thailand,government,"1030201300",หนองอ้อวิทยาคม,13.165859,99.989456,primary,- -,"30070227",นครราชสีมา,ลำทะเมนชัย
"11",29163794-87a3-3bc0-9571-4937bda7b749,Thailand,government,"1030201409",หันห้วยทรายพิทยาคม,13.176096,100.000276,secondary,119 -,"30072003",นครราชสีมา,ประทาย
"12",027d5091-76b8-34de-84f7-df2f85bf2f6b,Thailand,government,"1030201446",มิตรภาพวิทยา,13.183774,99.916651,secondary,20 มิตรภาพ-หนองคาย,"30072011",นครราชสีมา,โนนแดง
"13",790f794d-a174-3ce1-a134-ee04717930a3,Thailand,government,"1031260008",ไตรภูมิวิทยา,13.195156,99.977642,primary & secondary,355 บุรีรัมย์-พุทไธสง,"31010010",บุรีรัมย์,เมืองบุรีรัมย์
"14",5b0f89bd-da9c-3b36-b86b-e346db64392e,Thailand,government,"1031260009",บ้านโกรกขี้หนู,13.19597,99.956572,primary & secondary,2 -,"31010011",บุรีรัมย์,เมืองบุรีรัมย์
"15",9ca04cbe-75ee-3cec-94d2-53381448d592,Thailand,government,"1031260013",บ้านตราดหนองพลวง,13.204199,99.977589,primary,270 หน้าโรงพยาบาล,"31010015",บุรีรัมย์,เมืองบุรีรัมย์
"16",a1b645ad-ae1d-332b-aa1b-5add1fd92e18,Thailand,government,"1031260017",บ้านมาบสมอ,13.272238,99.930703,primary,167 บ้านมาบสมอ,"31010083",บุรีรัมย์,เมืองบุรีรัมย์
"17",881700c2-a4eb-3a81-8ebf-fdc20b2d2b38,Thailand,government,"1031260028",วัดบ้านถลุงเหล็ก,13.204907,99.91222,primary & secondary,บ้านหนองเหล็ก -,"31010017",บุรีรัมย์,เมืองบุรีรัมย์
"18",57bfa932-9d2e-3ca6-973c-bd3968ec4bc2,Thailand,government,"1031260032",บ้านท้องเรือ,13.189346,99.947274,primary,192 -,"31010005",บุรีรัมย์,เมืองบุรีรัมย์
"19",1f38a268-0a29-312a-9ae0-38b17e255338,Thailand,government,"1031260037",วัดบ้านเสม็ด,13.193695,99.945913,primary,163  -,"31010009",บุรีรัมย์,เมืองบุรีรัมย์
"20",9f265e4a-8c84-33fb-84a8-895a34d0a869,Thailand,government,"1031260047",วัดบ้านรุน,13.209895,99.984746,primary,0 0,"31010026",บุรีรัมย์,เมืองบุรีรัมย์
"21",3acc2bf0-30e5-3b2d-b027-a81ed57e6540,Thailand,government,"1031260067",ชุมชนบ้านหัววัว (ราษฎร์อุทิศ),13.263314,99.941858,primary & secondary,169 บุรีรัมย์-ประโคนชัย,"31010074",บุรีรัมย์,เมืองบุรีรัมย์
"22",53ff5232-ef30-323a-8120-7e71b4ec1786,Thailand,government,"1031260073",บ้านโคกระกา,13.214336,99.936903,primary,153 บุรีรัมย์ - นางรอง,"31010030",บุรีรัมย์,เมืองบุรีรัมย์
"23",8a2f607e-edee-3909-b7b9-0d9fcfb5bd0d,Thailand,government,"1031260084",บ้านสวายสอ (ประชาบูรณะ),13.262351,99.947942,primary & secondary,126 ถนนสายบุรีรัมย์ - นางรอง,"31010071",บุรีรัมย์,เมืองบุรีรัมย์
"24",3c5c73da-8ec4-3325-99e7-99ec17c8a45a,Thailand,government,"1031260092",วัดบ้านเมืองดู่,13.236214,99.893138,primary,2 -,"31010045",บุรีรัมย์,เมืองบุรีรัมย์
